http://query.nytimes.com/gst/fullpage.html?res=9C0CE1DB1E3BF934A25752C0A966958260	1990-01-17	FOES OF PRETORIA GATHER IN ZAMBIA	3	"Article has Mandela and African National Congress as subjects and mentioned multiple times"
http://query.nytimes.com/gst/fullpage.html?res=9C0CE4DC113DF932A15752C0A966958260	1990-01-21	The A.N.C. Is Torn Between Generations	3	"Article has Mandela as main subject"
http://query.nytimes.com/gst/fullpage.html?res=9C0CE6DA173FF93BA25752C0A966958260	1990-01-18	Main Foes of Apartheid Appear Split	2	"Article talks about what Mandela's policy but indirectly"
http://query.nytimes.com/gst/fullpage.html?res=9C0CEFDC153DF932A15752C0A966958260	1990-01-21	World Beat Has Become An Industry	1	"Article talks about music made on Nelson Mandela"
http://query.nytimes.com/gst/fullpage.html?res=9C0CE1DB173BF934A15752C0A966958260	1990-01-27	Yes to Mandela&apos;s Way	3	"Article has Mandela as main subject"
http://query.nytimes.com/gst/fullpage.html?res=9C0CE1DF1E3DF936A15752C0A966958260	1990-01-25	Bush Aide Optimistic On South African Shift	3	"Article talks about Mandela's Release from Prison"
http://query.nytimes.com/gst/fullpage.html?res=9C0CE3DC1E3EF935A15752C0A966958260	1990-01-26	Excerpts From Essay By Mandela or Botha	3	"Article is a speech from Nelson Mandela"
http://query.nytimes.com/gst/fullpage.html?res=9C0CE6D91730F935A15752C0A966958260	1990-01-26	MANDELA APPEAL CALLS ON PRETORIA FOR NEGOTIATIONS	3	"Article has Mandela as main subject"
http://query.nytimes.com/gst/fullpage.html?res=9C0CE7DF1230F930A15752C0A966958260	1990-01-23	Anti-Apartheid Rebels Tilt Toward Negotiation	3	"Article has Mandela as main subject"	
http://query.nytimes.com/gst/fullpage.html?res=9C0CEEDA1330F935A15752C0A966958260	1990-01-26	Quotation of the Day	0	"Article is just a quote by Nelson Mandela"
http://query.nytimes.com/gst/fullpage.html?res=9C0CE1D8153CF93AA15752C0A966958260	1990-01-29	Johannesburg Journal;   Glossy Magazine with a Difference: It&apos;s for Blacks	1	"Article just mentions some magazine which re-printed some old speech from Mandela"
http://query.nytimes.com/gst/fullpage.html?res=9C0CE2D7143CF932A35751C0A966958260	1990-02-01	INSIDE	0	"Article mentions some article on Black Man who was father of grandchild of Nelson Mandela"
http://query.nytimes.com/gst/fullpage.html?res=9C0CEED8113AF93BA15752C0A966958260	1990-01-28	Political Memo;   Mayoralty Raises Questions, While Jackson Ups the Ante	1	"Article talks about some politician who expects to be in South Africa on Mandela's release from prison" 
http://query.nytimes.com/gst/fullpage.html?res=9C0CEFDB1531F933A05752C0A966958260	1990-01-30	Mandela, &apos;Faceless Man With a Fax,&apos; Negotiates His and His Nation&apos;s Future	3	"Article has Mandela as main subject"
http://query.nytimes.com/gst/fullpage.html?res=9C0CE0D6123EF935A35751C0A966958260	1990-02-06	Grasping Reality	1	"The article just has a side mention of Nelson Mandela"
http://query.nytimes.com/gst/fullpage.html?res=9C0CE0DA1E39F930A35751C0A966958260	1990-02-03	BUSH WOULD WEIGH EASING SANCTIONS	2	"Article talks about how George Bush was going to remove sanctions from South Africa if Mandela were to be released" 
http://query.nytimes.com/gst/fullpage.html?res=9C0CE0DE1738F930A35751C0A966958260	1990-02-03	South Africa&apos;s New Era;   Foes of Apartheid Hail De Klerk&apos;s &apos;Positive&apos; Act	2	"Article is not directly about Nelson Mandela"
http://query.nytimes.com/gst/fullpage.html?res=9C0CE2D8153BF930A35751C0A966958260	1990-02-03	A Flash of Freedom in South Africa	2	"Article is about F.W. de Klerk decision to release Mandela and doesn't have Mandela as main subject"
http://query.nytimes.com/gst/fullpage.html?res=9C0CE2DB1639F937A35751C0A966958260	1990-02-04	The Rebel&apos;s Answer to Pretoria	2	"Article doesn't have Mandela as main subject"
http://query.nytimes.com/gst/fullpage.html?res=9C0CE3DA113CF936A35751C0A966958260	1990-02-05	South Africa&apos;s New Era;   Attention Is Turning to the Obstacles To de Klerk&apos;s Plan for Major Change	2	"Article just has a mention of Mandela's release"
http://query.nytimes.com/gst/fullpage.html?res=9C0CE3DB163FF936A35751C0A966958260	1990-02-05	South Africa&apos;s New Era;   Exiled South African Communist Says Situation Is Now More Volatile	2	"Article just has a mention of Mandela's release"
http://query.nytimes.com/gst/fullpage.html?res=9C0CE3DE1438F930A35751C0A966958260	1990-02-03	Jackson Asked Help for Donor, U.S. Aides Say	1	"Article talks about some politician who expects to be in South Africa on Mandela's release from prison"
http://query.nytimes.com/gst/fullpage.html?res=9C0CE3DF1239F934A35751C0A966958260	1990-02-07	Mandela Has Not Set Conditions for Release, a Visitor Says	3	"Article has Mandela as main subject"		
http://query.nytimes.com/gst/fullpage.html?res=9C0CE3DF163FF936A35751C0A966958260	1990-02-05	South Africa&apos;s New Era;   Wife Sees Obstacles to Mandela Release	3	"Article has Mandela as main subject"
http://query.nytimes.com/gst/fullpage.html?res=9C0CE4D8173AF937A35751C0A966958260	1990-02-04	Mandela, Inspiration and Legend, Faces Real Politics	3	"Article has Mandela as main subject"
http://query.nytimes.com/gst/fullpage.html?res=9C0CE4DA1731F931A35751C0A966958260	1990-02-02	De Klerk Weighs Changes in Apartheid	3	"Article has Mandela as main subject"
http://query.nytimes.com/gst/fullpage.html?res=9C0CE4DC1031F935A35751C0A966958260	1990-02-06	South Africa&apos;s Infuriated Rightists Vow a Battle to Defend Apartheid	2	"Article has mentions of Mandela but not Mandela as main subject"
http://query.nytimes.com/gst/fullpage.html?res=9C0CE5DA133EF931A35751C0A966958260	1990-02-02	In South Africa, Cricket Tour Stirs More Violence	2	"Article has mentions of Mandela getting freed, but Mandela is not the main subject"
http://query.nytimes.com/gst/fullpage.html?res=9C0CE5DC123BF930A35751C0A966958260	1990-02-03	Eight Decades of Bitterness	3	"Article is timeline of struggle in South Africa and mentions and is strongly related to Nelson Mandela"
http://query.nytimes.com/gst/fullpage.html?res=9C0CE5DC1738F930A35751C0A966958260	1990-02-03	South Africa&apos;s New Era;   After 30 Years of Suppression, an Unquiet Black Voice Is Legal	3	"Article highlights struggle in South Africa and mentions and is strongly related to Nelson Mandela"
